Virtual_Realm,Operator,DSC_Peer,Hostname,SCTP_IP,Pingable,WorkMode,Customer_Contact
,Bharti Airtel India,Airtel-AP-MME3,mmec01.mmegi9001.mme.epc.mnc049.mcc404.3gppnetwork.org,"223.224.118.241,223.224.118.243",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-AP-MME4,mmec04.mmegi9001.mme.epc.mnc049.mcc404.3gppnetwork.org,"223.224.118.233,223.224.118.235",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-Chandivali-MME,mmec18.mmegi8001.mme.epc.mnc092.mcc404.3gppnetwork.org,"223.224.116.161,223.224.116.162",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
epc.mnc045.mcc404.3gppnetwork.org,Bharti Airtel India,Airtel-Chennai-HSS,airtelcheslf1.epc.mnc045.mcc404.3gppnetwork.org,"223.224.118.32,223.224.118.33",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
airtel-mumai-dea-group,Bharti Airtel India,Airtel-ChennaiDEA,ipx02.chn.epc.mnc040.mcc404.3gppnetwork.org,"223.224.196.66,223.224.196.98",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-CHN-MME,airtelchnsgsn02.epc.mnc040.mcc404.3gppnetwork.org,"223.224.118.51,223.224.118.53",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-CHN-MME3,mmec01.mmegi8101.mme.epc.mnc040.mcc404.3gppnetwork.org,"223.224.118.65,223.224.118.67",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-CHN2-MME,airtelchnsgsn03.epc.mnc040.mcc404.3gppnetwork.org,"223.224.118.49,223.224.118.50",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-DEL-MME,delmme1.epc.mnc010.mcc404.3gppnetwork.org,"223.224.40.16,223.224.40.23",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-DEL-MME2,mmec207.mmegi32771.mme.epc.mnc010.mcc404.3gppnetwork.org,"223.224.40.20,223.224.40.21",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
epc.mnc010.mcc404.3gppnetwork.org,Bharti Airtel India,Airtel-Delhi-HSS1,hssdel101.epc.mnc010.mcc404.3gppnetwork.org,"223.224.96.212,223.224.96.214",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
epc.mnc010.mcc404.3gppnetwork.org,Bharti Airtel India,Airtel-Delhi-HSS2,hssdel102.epc.mnc010.mcc404.3gppnetwork.org,"223.224.96.213,223.224.96.215",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
epc.mnc002.mcc404.3gppnetwork.org,Bharti Airtel India,Airtel-dlslf01-HSS,dlslf01.epc.mnc002.mcc404.3gppnetwork.org,"223.224.96.17,223.224.96.18",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
airtel-east-hss-realm,Bharti Airtel India,Airtel-East-HSS1,hsskol101.epc.mnc031.mcc404.3gppnetwork.org,"223.224.124.240,223.224.124.241",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
airtel-east-hss-realm,Bharti Airtel India,Airtel-East-HSS2,hsskol102.epc.mnc031.mcc404.3gppnetwork.org,"223.224.124.242,223.224.124.243",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
airtel-east-hss-realm,Bharti Airtel India,Airtel-East-HSS3,hssori201.epc.mnc031.mcc404.3gppnetwork.org,"223.224.124.244,223.224.124.245",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
airtel-east-hss-realm,Bharti Airtel India,Airtel-East-HSS4,hssori202.epc.mnc031.mcc404.3gppnetwork.org,"223.224.124.246,223.224.124.247",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
airtel-east-hss-realm,Bharti Airtel India,Airtel-East-HSS5,hssbih301.epc.mnc031.mcc404.3gppnetwork.org,"223.224.124.248,223.224.124.249",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
airtel-east-hss-realm,Bharti Airtel India,Airtel-East-HSS6,hssbih302.epc.mnc031.mcc404.3gppnetwork.org,"223.224.124.250,223.224.124.251",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-GUJ-MME1,mmec48.mmegi8003.mme.epc.mnc098.mcc404.3gppnetwork.org,"223.224.116.189,223.224.116.190",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-GUJ-MME2,mmec50.mmegi8003.mme.epc.mnc098.mcc404.3gppnetwork.org,"223.224.116.185,223.224.116.186",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-Haryana-MME,mmec210.mmegi32780.mme.epc.mnc096.mcc404.3gppnetwork.org,"223.224.96.173,223.224.96.174",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-Himachal-MME,mmec100.mmegi32800.mme.epc.mnc003.mcc404.3gppnetwork.org,"223.224.96.169,223.224.96.170",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
epc.mnc049.mcc404.3gppnetwork.org,Bharti Airtel India,Airtel-hyderabad-HSS,apslf01.epc.mnc049.mcc404.3gppnetwork.org,"223.224.66.225,223.224.66.226",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-JAM-MME1,mmec160.mmegi33780.mme.epc.mnc055.mcc405.3gppnetwork.org,223.224.96.186,YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
,Bharti Airtel India,Airtel-KK-MME,airtelkkmme01.epc.mnc045.mcc404.3gppnetwork.org,"223.224.118.129,223.224.118.131",YES,Active,Siddharth1.Jain@airtel.com;Shikha.Gupta@airtel.com;CRMS.India@viavisolutions.com;gnoc.india.roaming@ericsson.com;ts-dss@syniverse.com;Raji.A@airtel.com;Kumaravel.D@airtel.com;v.prasad@airtel.com;arunkumar.b@airtel.com;ashish.kansal@airtel.com;Devinder.Singh@airtel.com;Vipin1.Garg@airtel.com;rajiv.rai@airtel.com;danish.ansari@airtel.com;Manoj14.kumar@airtel.com;Vandana.Trivedi@airtel.com;Samuel.Joshua@airtel.com;Jagdish.Pednekar@airtel.com;sanjog.gujrathi@airtel.com;mrinal.kant@in.airtel.com;Pratik.Dey@airtel.com;ravi4.ranjan@airtel.com;
